,carType,year
1297,ICE,2014
1298,ICE,2014
1299,ICE,2014
1300,ICE,2014
1301,ICE,2015
1302,ICE,2015
1303,ICE,2015
1304,ICE,2015
1305,ICE,2015
1306,ICE,2015
1307,ICE,2015
1308,ICE,2015
1309,ICE,2015
1310,ICE,2015
1311,ICE,2015
1312,ICE,2015
1313,ICE,2015
1314,ICE,2015
1315,ICE,2015
1316,ICE,2015
1317,ICE,2015
1318,ICE,2015
1319,ICE,2015
1320,ICE,2016
1321,ICE,2016
1322,ICE,2016
1323,ICE,2016
1324,ICE,2016
1325,ICE,2016
1326,ICE,2016
1327,ICE,2016
1328,ICE,2016
1329,ICE,2016
1330,ICE,2016
1331,ICE,2016
1332,ICE,2016
1334,ICE,2016
1335,ICE,2016
1336,ICE,2016
1337,ICE,2016
1338,ICE,2016
1339,ICE,2016
1340,ICE,2017
1341,ICE,2017
1342,ICE,2017
1343,ICE,2017
1344,ICE,2017
1345,ICE,2017
1346,ICE,2017
1347,ICE,2017
1348,ICE,2017
1349,ICE,2017
1350,ICE,2017
1351,ICE,2017
1352,ICE,2017
1353,ICE,2017
1354,ICE,2017
1355,ICE,2017
1356,ICE,2017
1357,ICE,2017
1358,ICE,2017
1359,ICE,2017
1360,ICE,2018
1361,ICE,2018
1362,ICE,2018
1363,ICE,2018
1364,ICE,2018
1365,ICE,2018
1366,ICE,2018
1367,ICE,2018
1368,ICE,2018
1369,ICE,2018
1370,ICE,2018
1371,ICE,2018
1372,ICE,2018
1373,ICE,2018
1374,ICE,2018
1375,ICE,2018
1376,ICE,2018
1377,ICE,2018
1378,ICE,2018
1379,ICE,2018
1380,ICE,2019
1381,ICE,2019
1382,ICE,2019
1383,ICE,2019
1384,ICE,2019
1385,ICE,2019
1386,ICE,2019
1387,ICE,2019
1388,ICE,2019
1389,ICE,2019
1390,ICE,2019
1391,ICE,2019
1392,ICE,2019
1393,ICE,2019
1394,ICE,2019
1395,ICE,2019
1396,ICE,2019
1397,ICE,2019
1398,ICE,2019
1399,ICE,2019
1400,ICE,2020
1401,ICE,2020
1402,EV,2020
1403,ICE,2020
1404,ICE,2020
1405,ICE,2020
1406,ICE,2020
1407,ICE,2020
1408,ICE,2020
1409,ICE,2020
1410,EV,2020
1411,ICE,2020
1412,EV,2020
1413,ICE,2020
1414,ICE,2020
1415,ICE,2020
1416,ICE,2020
1417,ICE,2020
1418,ICE,2020
1419,ICE,2020
1420,ICE,2021
1421,ICE,2021
1422,ICE,2021
1423,ICE,2021
1424,ICE,2021
1425,ICE,2021
1426,ICE,2021
1427,ICE,2021
1428,ICE,2021
1429,ICE,2021
1430,ICE,2021
1431,ICE,2021
1432,ICE,2021
1433,ICE,2021
1434,ICE,2021
1435,ICE,2021
1436,ICE,2021
1437,ICE,2021
1438,ICE,2021
1439,ICE,2011
1440,ICE,2011
1441,ICE,2011
1442,ICE,2011
1443,ICE,2011
1444,ICE,2011
1445,ICE,2011
1446,ICE,2011
1447,ICE,2011
1448,ICE,2011
1449,ICE,2011
1450,ICE,2011
1451,ICE,2011
1452,ICE,2011
1453,ICE,2011
1454,ICE,2011
1455,ICE,2011
1456,ICE,2011
1457,ICE,2011
1458,ICE,2011
1459,ICE,2012
1460,ICE,2012
1461,ICE,2012
1462,ICE,2012
1463,ICE,2012
1464,ICE,2012
1465,ICE,2012
1466,ICE,2012
1467,ICE,2012
1468,ICE,2012
1469,ICE,2012
1470,ICE,2012
1471,ICE,2012
1472,ICE,2012
1473,ICE,2012
1474,ICE,2012
1475,ICE,2012
1476,ICE,2012
1477,ICE,2012
1478,ICE,2012
1479,ICE,2013
1480,ICE,2013
1481,ICE,2013
1482,ICE,2013
1483,ICE,2013
1484,ICE,2013
1485,ICE,2013
1486,ICE,2013
1487,ICE,2013
1488,ICE,2013
1489,ICE,2013
1490,ICE,2013
1491,ICE,2013
1492,ICE,2013
1493,ICE,2013
1494,ICE,2013
1495,ICE,2013
1496,ICE,2013
1497,ICE,2013
1498,ICE,2013
1499,ICE,2014
1500,ICE,2014
1501,ICE,2014
1502,ICE,2014
1503,ICE,2014
1504,ICE,2014
1505,ICE,2014
1506,ICE,2014
1507,ICE,2014
1508,ICE,2014
